name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
t v s ram prasad,t v s ramprasad,0,t v s ram prasad,t v s ramprasad,t v s ram prasad,t v s ramprasad,0.6728513964215158,0.46967575,0.9874999999999999,0,1,1,0.5,0.77,0,0,0,0.10976317
bhat k g,lakshminarayana bhat,0,bhat k g,lakshminarayana bhat,bhat k g,lakshminarayana bhat,0.3610336929049408,0.39407754,0.48333333333333334,0,0,17,0.25,0.67,0,0,0,0.10669158
mithilesh kumar,methilesh nagar,0,mithilesh kumar,methilesh nagar,mithilesh kumar,methilesh nagar,0.47056892546168816,0.42285135,0.8127272727272726,0,1,4,0.0,0.53,0,0,0,0.1217548
ashish pitale,saharsh,0,ashish pitale,saharsh,ashish pitale,saharsh,0.040562329349469864,0.30162907,0.632967032967033,0,0,11,0.0,0.4,0,0,0,0.110452875
d rai,mridul rai,0,d rai,mridul rai,d rai,mridul rai,0.4210084045889499,0.5992383,0.5222222222222221,0,0,5,0.3333333333333333,0.75,1,0,0,0.106695026
ashok kumar malviya,a k kariwal,0,ashok kumar malviya,a k kariwal,ashok kumar malviya,a k kariwal,0.04935819746839311,0.43154654,0.6528442317916002,0,0,11,0.0,0.53,0,0,0,0.110452875
prasad jeedigunta,b v prasad,0,prasad jeedigunta,b v prasad,prasad jeedigunta,b v prasad,0.37563685561000126,0.58840126,0.5610644257703081,0,0,15,0.25,0.75,0,0,0,0.10669158
b karunakar reddy,k karunaker,0,b karunakar reddy,k karunaker,b karunakar reddy,k karunaker,0.5064628149452683,0.70912576,0.6657754010695187,0,0,8,0.0,0.64,0,0,0,0.11739242
udbhav bansal,buddh ram,0,udbhav bansal,buddh ram,udbhav bansal,buddh ram,0.027400197389408725,0.3481511,0.5982905982905983,0,0,9,0.0,0.45,0,0,0,0.110452875
manazir hasnain,manowar ahasan,0,manazir hasnain,manowar ahasan,manazir hasnain,manowar ahasan,0.09035363960987772,0.38582107,0.8453535353535354,0,0,6,0.0,0.76,0,0,0,0.110452875
srijan shukla surgical oncologist,bhubaneswar sukla,0,srijan shukla surgical,bhubaneswar sukla,srijan shukla surgical,bhubaneswar sukla,0.18877387439022228,0.39224362,0.6569998628822158,0,0,15,0.0,0.46,1,0,0,0.110452875
avijit mondal,abhijit roy mondal,0,avijit mondal,abhijit roy mondal,avijit mondal,abhijit roy mondal,0.5956044811750418,0.58395153,0.851923076923077,0,1,6,0.25,0.77,0,0,0,0.110441335
g dsharma,g d sharma,1,g dsharma,g d sharma,g dsharma,g d sharma,0.5755063389975618,0.47108483,0.9766666666666667,0,1,1,0.25,0.95,1,0,0,0.123265676
v k rajoria,v k ramteke,0,v k rajoria,v k ramteke,v k rajoria,v k ramteke,0.09765075245788508,0.5276035,0.6969696969696969,0,0,5,0.5,0.55,0,0,0,0.106695026
ramya arul,c arul,0,ramya arul,c arul,ramya arul,c arul,0.630866177878191,0.58104765,0.7111111111111112,0,0,5,0.3333333333333333,0.8,0,0,0,0.10808516
gupta k,sanjay gupta,0,gupta k,sanjay gupta,gupta k,sanjay gupta,0.672749129673876,0.73264354,0.48412698412698413,0,0,9,0.3333333333333333,0.83,1,0,0,0.12025691
pavan kumar sachan,jitendra sachan,0,pavan kumar sachan,jitendra sachan,pavan kumar sachan,jitendra sachan,0.3876541218547662,0.6749882,0.6074074074074075,0,0,9,0.25,0.57,0,0,0,0.10669158
u shirisha,arish,0,u shirisha,arish,u shirisha,arish,0.22389092467705177,0.27567643,0.5666666666666668,0,0,6,0.0,0.53,0,0,0,0.110452875
hareesh reddy kaserla general surgeon,arish,0,hareesh reddy kaserla,arish,hareesh reddy kaserla,arish,0.039001583578035015,0.23461524,0.49682539682539684,0,0,17,0.0,0.31,0,0,0,0.110452875
nikhil narain,nikhil khantal,0,nikhil narain,nikhil khantal,nikhil narain,nikhil khantal,0.5504095184366353,0.6038427,0.8767032967032967,0,0,6,0.3333333333333333,0.67,0,0,0,0.10863352
rishikesh kumar,rushikesh x,0,rishikesh kumar,rushikesh x,rishikesh kumar,rushikesh x,0.5409945779092539,0.2762035,0.7921212121212121,0,1,6,0.0,0.62,0,0,0,0.15113312
vinit kumar srivastava,s srivastava,0,vinit kumar srivastava,s srivastava,vinit kumar srivastava,s srivastava,0.7458165115455151,0.72739136,0.6843434343434343,0,0,11,0.25,0.91,1,0,0,0.20117134
roop kumar gurshani,r gurumukhi,0,roop kumar gurshani,r gurumukhi,roop kumar gurshani,r gurumukhi,0.16416965254479193,0.5983224,0.6898812688286373,0,0,12,0.0,0.47,1,0,0,0.110452875
