name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
md mohsin hashmi,m hashmi,1,md mohsin hashmi,m hashmi,md mohsin hashmi,m hashmi,0.576460301501468,0.6498376,0.6755952380952381,0,0,8,0.25,0.86,1,1,1,0.89895767
venu bhargava mulpuri surgical gastroenterologist,m venu bhargava,0,venu bhargava mulpuri surgical,m venu bhargava,venu bhargava mulpuri surgical,m venu bhargava,0.5718633065623654,0.7060061,0.6777777777777777,0,0,19,0.4,0.93,1,1,1,0.89895767
sudhansu sekhar sutar,s sutar,0,sudhansu sekhar sutar,s sutar,sudhansu sekhar sutar,s sutar,0.5863914690548548,0.536058,0.6031746031746031,0,0,14,0.25,0.83,0,1,1,0.89895767
shiv kishor,shiva kishore,1,shiv kishor,shiva kishore,shiv kishor,shiva kishore,0.6731304054921563,0.50858396,0.9692307692307692,1,1,2,0.0,0.92,0,0,1,0.88466895
bhardwaj vijayesh,vijyesh bharadwaj,1,bhardwaj vijayesh,vijyesh bharadwaj,bhardwaj vijayesh,vijyesh bharadwaj,0.5689010159601953,0.6510954,0.46498599439775906,0,0,16,0.0,0.94,0,0,1,0.5659059
suresh kumar sarawgi,s sarawgi,1,suresh kumar sarawgi,s sarawgi,suresh kumar sarawgi,s sarawgi,0.8070159791084492,0.5902618,0.6,0,0,11,0.25,0.88,1,1,1,0.89895767
dekanilotpal,deka nilotpal,1,deka nilotpal,deka nilotpal,deka nilotpal,deka nilotpal,1.0,1.0,1.0,1,1,0,1.0,1.0,1,1,1,0.89880055
hemasundar,hema sundar,1,hema sundar,hema sundar,hema sundar,hema sundar,1.0,1.0,1.0,1,1,0,1.0,1.0,1,1,1,0.89880055
mujawar parvej abdul jabbar surgeon doctor in dhule,parvej mujawar,0,mujawar parvej abdul jabbar in dhule,parvej mujawar,mujawar parvej abdul jabbar in dhule,parvej mujawar,0.665323196183324,0.68218285,0.6296296296296297,0,0,24,0.3333333333333333,1.0,0,1,1,0.89895767
m r attri,mohan r attri,1,m r attri,mohan r attri,m r attri,mohan r attri,0.8242792379720556,0.58229506,0.841025641025641,0,0,4,0.5,0.88,1,1,1,0.89895767
gundam siva srinivasa reddy,b srinivasa reddy,0,gundam siva srinivasa reddy,b srinivasa reddy,gundam siva srinivasa reddy,b srinivasa reddy,0.7458632070111211,0.598951,0.740423021060276,0,0,11,0.4,0.94,1,0,1,0.88408244
n suresh anand,n suresh,1,n suresh anand,n suresh,n suresh anand,n suresh,0.7618092344474886,0.4831714,0.9142857142857143,0,1,6,0.6666666666666666,1.0,0,1,1,0.89279956
balamurali,bala murali,1,bala murali,bala murali,bala murali,bala murali,1.0000000000000002,1.0,1.0,1,1,0,1.0,1.0,1,1,1,0.89880055
kunwar roop singh,s kunwar,0,kunwar roop singh,s kunwar,kunwar roop singh,s kunwar,0.670722283571681,0.6114783,0.6193977591036414,0,0,13,0.25,0.86,0,1,1,0.89895767
aditya prasad padhy,p padhy,0,aditya prasad padhy,p padhy,aditya prasad padhy,p padhy,0.594753115630638,0.6241745,0.5258145363408522,0,0,12,0.25,0.83,0,1,1,0.89895767
mageswaran perumal,m perumal,0,mageswaran perumal,m perumal,mageswaran perumal,m perumal,0.6828645519525351,0.5048665,0.47222222222222215,0,0,9,0.3333333333333333,0.88,0,1,1,0.89895767
